tare_ton,wagon_subtype,subtype_count
22.8,ballast_wagon,0
22.9,ballast_wagon,0
23.0,ballast_wagon,0
23.1,ballast_wagon,0
23.5,ballast_wagon,0
23.8,ballast_wagon,0
24.0,ballast_wagon,0
24.1,ballast_wagon,0
24.2,ballast_wagon,0
24.5,ballast_wagon,0
24.8,ballast_wagon,0
25.0,ballast_wagon,0
25.2,ballast_wagon,0
25.5,ballast_wagon,0
25.6,ballast_wagon,17
25.9,ballast_wagon,0
26.0,ballast_wagon,0
26.1,ballast_wagon,0
26.3,ballast_wagon,0
26.5,ballast_wagon,7
26.8,ballast_wagon,0
27.2,ballast_wagon,0
27.5,ballast_wagon,0
27.6,ballast_wagon,0
27.8,ballast_wagon,0
27.9,ballast_wagon,0
28.0,ballast_wagon,0
34.4,ballast_wagon,0
35.0,ballast_wagon,0
37.0,ballast_wagon,0
37.2,ballast_wagon,0
38.0,ballast_wagon,0
48.7,ballast_wagon,0
54.0,ballast_wagon,0
54.1,ballast_wagon,0
90.0,ballast_wagon,0
