seq,train_no,train_type,service_type,direction,origin,dep_time,dest,arr_time,sched_duration,distance_km,days_kor,main_line_kor,note,dep_time_parsed,arr_time_parsed,sched_dur_sec,avg_speed_kmh,day_of_week,main_line_norm,overnight_flag,dep_dt,arr_dt,block_time_min,sched_dur_min,dur_diff_min,est_revenue_won_general
7,3007,화물,정기,하,오봉,7:02:00,부산신항,12:05:00,5:03:00,402.3,일화수목금토,경부선,,07:02:00,12:05:00,18180,79.66336633663367,Sun,Gyeongbu Line,0,2024-01-07 07:02:00,2024-01-07 12:05:00,303.0,303.0,0.0,22158684.0
7,3007,화물,정기,하,오봉,7:02:00,부산신항,12:05:00,5:03:00,402.3,일화수목금토,경부선,,07:02:00,12:05:00,18180,79.66336633663367,Tue,Gyeongbu Line,0,2024-01-02 07:02:00,2024-01-02 12:05:00,303.0,303.0,0.0,22158684.0
7,3007,화물,정기,하,오봉,7:02:00,부산신항,12:05:00,5:03:00,402.3,일화수목금토,경부선,,07:02:00,12:05:00,18180,79.66336633663367,Wed,Gyeongbu Line,0,2024-01-03 07:02:00,2024-01-03 12:05:00,303.0,303.0,0.0,22158684.0
7,3007,화물,정기,하,오봉,7:02:00,부산신항,12:05:00,5:03:00,402.3,일화수목금토,경부선,,07:02:00,12:05:00,18180,79.66336633663367,Thu,Gyeongbu Line,0,2024-01-04 07:02:00,2024-01-04 12:05:00,303.0,303.0,0.0,22158684.0
7,3007,화물,정기,하,오봉,7:02:00,부산신항,12:05:00,5:03:00,402.3,일화수목금토,경부선,,07:02:00,12:05:00,18180,79.66336633663367,Fri,Gyeongbu Line,0,2024-01-05 07:02:00,2024-01-05 12:05:00,303.0,303.0,0.0,22158684.0
7,3007,화물,정기,하,오봉,7:02:00,부산신항,12:05:00,5:03:00,402.3,일화수목금토,경부선,,07:02:00,12:05:00,18180,79.66336633663367,Sat,Gyeongbu Line,0,2024-01-06 07:02:00,2024-01-06 12:05:00,303.0,303.0,0.0,22158684.0
8,3008,화물,정기,상,부산신항,9:56:00,오봉,14:55:00,4:59:00,402.3,일화수목금토,경부선,,09:56:00,14:55:00,17940,80.72909698996655,Sun,Gyeongbu Line,0,2024-01-07 09:56:00,2024-01-07 14:55:00,299.0,299.0,0.0,22158684.0
8,3008,화물,정기,상,부산신항,9:56:00,오봉,14:55:00,4:59:00,402.3,일화수목금토,경부선,,09:56:00,14:55:00,17940,80.72909698996655,Tue,Gyeongbu Line,0,2024-01-02 09:56:00,2024-01-02 14:55:00,299.0,299.0,0.0,22158684.0
8,3008,화물,정기,상,부산신항,9:56:00,오봉,14:55:00,4:59:00,402.3,일화수목금토,경부선,,09:56:00,14:55:00,17940,80.72909698996655,Wed,Gyeongbu Line,0,2024-01-03 09:56:00,2024-01-03 14:55:00,299.0,299.0,0.0,22158684.0
8,3008,화물,정기,상,부산신항,9:56:00,오봉,14:55:00,4:59:00,402.3,일화수목금토,경부선,,09:56:00,14:55:00,17940,80.72909698996655,Thu,Gyeongbu Line,0,2024-01-04 09:56:00,2024-01-04 14:55:00,299.0,299.0,0.0,22158684.0
